indexer_name,wallet_address
01 node,0x79c813f6b6a84b4ab7258db617612f06bde25498
0xfury,0x345c9a221e4caa15f78fb8078c441745de48a225
0xfury,0xf57dcd881ebd1d81df99194abdfa90f9e0e92f11
0xfury,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2
4Block Team,0x4d67938e9b07681526fe0345a45b770bba88c659
Alive 29,0x27ac40b9198659ce99eef1890d853a40560c9425
Alive 29,0xbe211c00d18ebd99e1d0250114d460929658fe34
Allnodes,0x474e571ab6dd77489ec3c7ddf9cbc893fcba684c
Alpha Virtual,0x4BbfBd1320093858d877AB0C8cD91eF0cE065318
Amencer,0x19a4fe7d0c76490cca77b45580846cdb38b9a406
AngelBlock,0xbf1650e92db3f0e333665053aeaae02b0a5741f7
AngelBlock,0xe02b31818dddad360fe899e0db327b207751d797
Bambucha,0xcba919cf1ee9c537545975d9968718a09d20f071
Bambucha,0xe6368e677871b288294536c8fe6cb1bbeb19f7a2
BitNordic,0xdc7daef4d0751a9f6ec28b06d6d9475b13eb0918
BitNordic,0xd11e05240a50e2eedb03e72d4c9c6465bc05f2a4
Blockdaemon,0x9d2adf4bbbe140020baf520ed084f8a1f38f643c
Blockonaut,0xf0e33495afe697dbe32168bd0743ba32ebb978a3
Braindexer,0x920fdeb00ee04dd72f62d8a8f80f13c82ef76c1e
Braindexer,0x844e344dfdbc538cb6e9d120717b025a77ca9948
Bware Labs,0x4b1c684dc4ad3c77cbaae5f16051c269b79116d2
Catapulta,0xeccdf8231326a9c5aad32df76a633aaa4c49b104
Chainflow,0x7ca0ee4a792f4da7b6aaf4c082b234259de61112
Chainnode Tech,0x3eb3297b0e34a7897aa004b66a354053425f7894
Chainnode Tech,0x91f137715ef8e141d6a8074cbbbc53a0f76b09c5
Chorus One,0xe63e935fba572784d5aa40715e372e7948bbdb12
Chorus One,0xfd12a5a7bc7f2eb4904a8177418dbb0bf094ba16
Citadel One,0x8d632dfc2454d624910fe982e85a5b15d2ae93c5
Coaction,0x07ca020fdde5c57c1c3a783befdb08929cf77fec
Counterpoint Software,0x745cf2b4e7a5b2f25112d9cea19d914da6d33844
Cryptoblossom,0xc7c3c9586a10e4b40373f2f2f223b3a3c04cc6c6
CyberG Validator,0x863e1fc588651c432a1bbb7c8afdf2c3d34921ea
DSRV Labs,0x09dc2843357fbdbea7695813872c309bd611b560
DSRV Labs,0xda20dde459c8d918f81566995d899a046d4d8503
DappLooker,0x7239b1896ad2b6a9d3aa6c4b12d8993e78fb67dc
DappLooker,0x0b9d582b7fdd387ba13ad7f453d49af255a8ed5e
Dappquery,0x4bc2e066fb0857493a1fbe48462bb34ff6ea731f
Darksiders Staking,0x089f78d8cf0a5ae1b7a581b1910a73f8cb3e4774
Darksiders Staking,0xbe9d7c691792937ca7e2535652886ff390cc5b86
DataNexus,0x4e5c87772c29381bcabc58c3f182b6633b5a274a
DataNexus,0x87eba079059b75504c734820d6cf828476754b83
DataNexus,0xe7DB0D2384587956ef9d47304E96236022cCE3Af
Deutsche Telekom,0x4f45530236e1c6603870301010dcab7b561125b3
Differential Graph,0x3e1536fc83cd5bed83a521a26034ff3e59c6a7c4
DACM,0xe338631b024afcc15aad7c987cda6aa09bd50ad0
DACM,0x918fcc24e6b7f5ec73b4cf766e2393d8fe707541
Easy 2 Stake,0xdeb712db301285ed483ef9e02dd08a1980f273f1
Edge & Node,0xa959b5afe73c6faa803541b5c4edc0492dfda294
Edge & Node,0xd3a3fa4b73e5007a8adef6ccdfc8d05c06a76035
Edge & Node,0x852ab5dcf19e8fdfb69d8e0f468a3b9db030a2dd
Edge & Node,0x5161174206efb876af98aa6b8862c2f2aa1b898c
Edge & Node,0xc81dfe96d36b438f1430d7299901b6ec3b52ae1d
Edge & Node,0x5762a33fc95308147f6077407AFfCD42C42CbDe4
Upgrade Indexer,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491
Ellipfra,0xf92f430dd8567b0d466358c79594ab58d919a6d4
Ellipfra,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a
Figment,0xc55c63563efb36f7cc65ac3060c52987c6694b37
Figment,0xf9123292b4d958c53aaad8c5df0138ee0e62944b
Figment,0x6125ea331851367716bee301ecde7f38a7e429e7
